pedestrians,towards_manhattan,towards_brooklyn,date,weather,events
311,128,183,2019-07-09,clear-day,nan
2327,1003,1324,2019-09-29,clear-day,nan
352,113,239,2019-09-06,cloudy,nan
1,0,1,2019-08-15,partly-cloudy-night,nan
182,98,84,2019-08-20,clear-night,nan
21,20,1,2019-02-14,partly-cloudy-night,Valentine's Day
1969,953,1016,2019-03-16,partly-cloudy-day,nan
364,163,201,2019-08-02,partly-cloudy-day,nan
612,367,245,2019-03-01,cloudy,nan
2377,1241,1136,2019-10-18,partly-cloudy-day,nan
0,0,0,2019-05-15,cloudy,nan
0,0,0,2019-05-28,clear-night,nan
2035,878,1157,2019-09-19,clear-day,nan
200,125,75,2019-08-31,partly-cloudy-night,nan
964,520,444,2019-06-26,clear-day,nan
1981,996,985,2019-03-11,clear-day,nan
5,0,5,2019-12-30,cloudy,New Year's Eve
43,16,27,2019-07-29,partly-cloudy-night,nan
